team,points
Manchester City,91
Arsenal,89
Liverpool,82
Aston Villa,68
Tottenham Hotspur,66
Chelsea,63
Newcastle United,60
Manchester United,60
West Ham United,52
Crystal Palace,49
Brighton and Hove Albion,48
Bournemouth,48
Fulham,47
Wolverhampton Wanderers,46
Everton,40
Brentford,39
Nottingham Forest,32
Luton Town,26
Burnley,24
Sheffield United,16
