team,points
Bayer 04 Leverkusen,90
VfB Stuttgart,73
FC Bayern München,72
RB Leipzig,65
Borussia Dortmund,63
Eintracht Frankfurt,47
TSG Hoffenheim,46
1. FC Heidenheim 1846,42
SV Werder Bremen,42
Sport-Club Freiburg,42
FC Augsburg,39
VfL Wolfsburg,37
1. FSV Mainz 05,35
Borussia Mönchengladbach,34
1. FC Union Berlin,33
VfL Bochum 1848,33
1. FC Köln,27
SV Darmstadt 98,17
