team,points
RMA,1
BAR,2
GIR,3
ATM,4
ATH,5
RSO,6
BET,7
VIL,8
VAL,9
ALA,10
OSA,11
GET,12
SEV,13
CEL,14
LPA,15
RAY,16
MLL,17
CAD,18
GRA,19
ALM,20
RMA,1
ATM,2
GIR,3
BAR,4
ATH,5
BET,6
ALA,7
RSO,8
VAL,9
GET,10
VIL,11
MLL,12
CAD,13
SEV,14
LPA,15
CEL,16
OSA,17
RAY,18
GRA,19
ALM,20
RMA,1
BAR,2
GIR,3
RSO,4
VIL,5
ATM,6
ATH,7
OSA,8
BET,9
SEV,10
VAL,11
RAY,12
CEL,13
LPA,14
GET,15
ALA,16
MLL,17
ALM,18
CAD,19
GRA,20
