team,points
Inter Milan,93
AC Milan,75
Juventus,71
Bologna,68
Atalanta,66
Roma,63
Lazio,60
Fiorentina,57
Torino,53
Napoli,52
Genoa,49
Monza,45
Verona,37
Lecce,37
Cagliari,36
Frosinone,35
Udinese,34
Empoli,33
Sassuolo,29
Salernitana,17
